Layout, Wing, Span, dV, AOA, Cx, Cy, Mz
1, 0, 0.25, -10,  12.  ,    0.77043E-01,   1.1535    , -0.10849    
1, 0, 0.25, -10,  10.  ,    0.57963E-01,   1.0016    , -0.31581E-01
1, 0, 0.25, -10,   9.  ,    0.49605E-01,  0.92454    ,  0.48125E-02
1, 0, 0.25, -10,   8.  ,    0.42059E-01,  0.84677    ,  0.39769E-01
1, 0, 0.25, -10,   7.  ,    0.35338E-01,  0.76841    ,  0.73244E-01
1, 0, 0.25, -10,   6.  ,    0.29455E-01,  0.68952    ,  0.10520    
1, 0, 0.25, -10,   5.5 ,    0.26831E-01,  0.64990    ,  0.12059    
1, 0, 0.25, -10,   5.  ,    0.24421E-01,  0.61019    ,  0.13558    
1, 0, 0.25, -10,   4.5 ,    0.22225E-01,  0.57038    ,  0.15018    
1, 0, 0.25, -10,   4.  ,    0.20244E-01,  0.53049    ,  0.16437    
1, 0, 0.25, -10,   3.5 ,    0.18479E-01,  0.49052    ,  0.17816    
1, 0, 0.25, -10,   3.  ,    0.16930E-01,  0.45050    ,  0.19153    
1, 0, 0.25, -10,   2.5 ,    0.15598E-01,  0.41042    ,  0.20449    
1, 0, 0.25, -10,   2.0 ,    0.14484E-01,  0.37030    ,  0.21702    
1, 0, 0.25, -10,   1.5 ,    0.13587E-01,  0.33015    ,  0.22914    
1, 0, 0.25, -10,   1.  ,    0.12907E-01,  0.28998    ,  0.24083    
1, 0, 0.25, -10,   0.5 ,    0.12445E-01,  0.24980    ,  0.25209    
1, 0, 0.25, -10,   0.0 ,    0.12201E-01,  0.20961    ,  0.26291    
1, 0, 0.25, -10,  -0.5 ,    0.12173E-01,  0.16943    ,  0.27331    
1, 0, 0.25, -10,   -1. ,    0.12362E-01,  0.12928    ,  0.28326    
1, 0, 0.25, -10,  -2.0 ,    0.13386E-01,  0.49054E-01,  0.30186    
1, 0, 0.25, -10,  -4.0 ,    0.17995E-01, -0.11073    ,  0.33372    
1, 0, 0.25, -8,  12.  ,    0.76021E-01,   1.1487    , -0.12461    
1, 0, 0.25, -8,  10.  ,    0.56934E-01,  0.99579    , -0.50148E-01
1, 0, 0.25, -8,   9.  ,    0.48584E-01,  0.91819    , -0.14949E-01
1, 0, 0.25, -8,   8.  ,    0.41053E-01,  0.83992    ,  0.18831E-01
1, 0, 0.25, -8,   7.  ,    0.34354E-01,  0.76105    ,  0.51151E-01
1, 0, 0.25, -8,   6.  ,    0.28500E-01,  0.68166    ,  0.81970E-01
1, 0, 0.25, -8,   5.5 ,    0.25894E-01,  0.64180    ,  0.96804E-01
1, 0, 0.25, -8,   5.  ,    0.23503E-01,  0.60184    ,  0.11125    
1, 0, 0.25, -8,   4.5 ,    0.21327E-01,  0.56178    ,  0.12530    
1, 0, 0.25, -8,   4.  ,    0.19369E-01,  0.52165    ,  0.13896    
1, 0, 0.25, -8,   3.5 ,    0.17628E-01,  0.48144    ,  0.15221    
1, 0, 0.25, -8,   3.  ,    0.16106E-01,  0.44117    ,  0.16506    
1, 0, 0.25, -8,   2.5 ,    0.14802E-01,  0.40086    ,  0.17750    
1, 0, 0.25, -8,   2.0 ,    0.13717E-01,  0.36050    ,  0.18953    
1, 0, 0.25, -8,   1.5 ,    0.12851E-01,  0.32011    ,  0.20114    
1, 0, 0.25, -8,   1.  ,    0.12204E-01,  0.27970    ,  0.21233    
1, 0, 0.25, -8,   0.5 ,    0.11777E-01,  0.23929    ,  0.22311    
1, 0, 0.25, -8,   0.0 ,    0.11568E-01,  0.19887    ,  0.23346    
1, 0, 0.25, -8,  -0.5 ,    0.11578E-01,  0.15846    ,  0.24338    
1, 0, 0.25, -8,   -1. ,    0.11806E-01,  0.11807    ,  0.25288    
1, 0, 0.25, -8,  -2.0 ,    0.12913E-01,  0.37401E-01,  0.27058    
1, 0, 0.25, -8,  -4.0 ,    0.17707E-01, -0.12326    ,  0.30077    
1, 0, 0.25, -6,  12.  ,    0.75023E-01,   1.1433    , -0.14212    
1, 0, 0.25, -6,  10.  ,    0.55943E-01,  0.98938    , -0.70156E-01
1, 0, 0.25, -6,   9.  ,    0.47607E-01,  0.91127    , -0.36184E-01
1, 0, 0.25, -6,   8.  ,    0.40097E-01,  0.83248    , -0.36094E-02
1, 0, 0.25, -6,   7.  ,    0.33427E-01,  0.75310    ,  0.27526E-01
1, 0, 0.25, -6,   6.  ,    0.27610E-01,  0.67321    ,  0.57183E-01
1, 0, 0.25, -6,   5.5 ,    0.25024E-01,  0.63309    ,  0.71447E-01
1, 0, 0.25, -6,   5.  ,    0.22655E-01,  0.59287    ,  0.85327E-01
1, 0, 0.25, -6,   4.5 ,    0.20504E-01,  0.55257    ,  0.98822E-01
1, 0, 0.25, -6,   4.  ,    0.18572E-01,  0.51218    ,  0.11193    
1, 0, 0.25, -6,   3.5 ,    0.16859E-01,  0.47173    ,  0.12464    
1, 0, 0.25, -6,   3.  ,    0.15366E-01,  0.43122    ,  0.13695    
1, 0, 0.25, -6,   2.5 ,    0.14093E-01,  0.39066    ,  0.14886    
1, 0, 0.25, -6,   2.0 ,    0.13041E-01,  0.35006    ,  0.16037    
1, 0, 0.25, -6,   1.5 ,    0.12209E-01,  0.30943    ,  0.17147    
1, 0, 0.25, -6,   1.  ,    0.11599E-01,  0.26878    ,  0.18216    
1, 0, 0.25, -6,   0.5 ,    0.11209E-01,  0.22812    ,  0.19244    
1, 0, 0.25, -6,   0.0 ,    0.11040E-01,  0.18747    ,  0.20230    
1, 0, 0.25, -6,  -0.5 ,    0.11091E-01,  0.14682    ,  0.21175    
1, 0, 0.25, -6,   -1. ,    0.11362E-01,  0.10621    ,  0.22077    
1, 0, 0.25, -6,  -2.0 ,    0.12559E-01,  0.25073E-01,  0.23756    
1, 0, 0.25, -6,  -4.0 ,    0.17551E-01, -0.13647    ,  0.26605    
1, 0, 0.25, -4,  12.  ,    0.73982E-01,   1.1367    , -0.16277    
1, 0, 0.25, -4,  10.  ,    0.54940E-01,  0.98177    , -0.93153E-01
1, 0, 0.25, -4,   9.  ,    0.46633E-01,  0.90317    , -0.60325E-01
1, 0, 0.25, -4,   8.  ,    0.39159E-01,  0.82391    , -0.28873E-01
1, 0, 0.25, -4,   7.  ,    0.32532E-01,  0.74405    ,  0.11619E-02
1, 0, 0.25, -4,   6.  ,    0.26763E-01,  0.66368    ,  0.29745E-01
1, 0, 0.25, -4,   5.5 ,    0.24205E-01,  0.62333    ,  0.43480E-01
1, 0, 0.25, -4,   5.  ,    0.21864E-01,  0.58288    ,  0.56840E-01
1, 0, 0.25, -4,   4.5 ,    0.19744E-01,  0.54234    ,  0.69821E-01
1, 0, 0.25, -4,   4.  ,    0.17843E-01,  0.50173    ,  0.82419E-01
1, 0, 0.25, -4,   3.5 ,    0.16163E-01,  0.46104    ,  0.94629E-01
1, 0, 0.25, -4,   3.  ,    0.14705E-01,  0.42030    ,  0.10645    
1, 0, 0.25, -4,   2.5 ,    0.13469E-01,  0.37951    ,  0.11788    
1, 0, 0.25, -4,   2.0 ,    0.12454E-01,  0.33869    ,  0.12891    
1, 0, 0.25, -4,   1.5 ,    0.11663E-01,  0.29783    ,  0.13954    
1, 0, 0.25, -4,   1.  ,    0.11093E-01,  0.25696    ,  0.14977    
1, 0, 0.25, -4,   0.5 ,    0.10746E-01,  0.21609    ,  0.15960    
1, 0, 0.25, -4,   0.0 ,    0.10621E-01,  0.17522    ,  0.16902    
1, 0, 0.25, -4,  -0.5 ,    0.10717E-01,  0.13436    ,  0.17804    
1, 0, 0.25, -4,   -1. ,    0.11035E-01,  0.93523E-01,  0.18664    
1, 0, 0.25, -4,  -2.0 ,    0.12330E-01,  0.11971E-01,  0.20261    
1, 0, 0.25, -4,  -4.0 ,    0.17535E-01, -0.15039    ,  0.22957    
1, 0, 0.25, -2,  12.  ,    0.72819E-01,   1.1278    , -0.18903    
1, 0, 0.25, -2,  10.  ,    0.53871E-01,  0.97211    , -0.12125    
1, 0, 0.25, -2,   9.  ,    0.45619E-01,  0.89313    , -0.89305E-01
1, 0, 0.25, -2,   8.  ,    0.38205E-01,  0.81349    , -0.58714E-01
1, 0, 0.25, -2,   7.  ,    0.31642E-01,  0.73326    , -0.29515E-01
1, 0, 0.25, -2,   6.  ,    0.25943E-01,  0.65252    , -0.17417E-02
1, 0, 0.25, -2,   5.5 ,    0.23421E-01,  0.61199    ,  0.11600E-01
1, 0, 0.25, -2,   5.  ,    0.21118E-01,  0.57136    ,  0.24572E-01
1, 0, 0.25, -2,   4.5 ,    0.19036E-01,  0.53064    ,  0.37172E-01
1, 0, 0.25, -2,   4.  ,    0.17176E-01,  0.48984    ,  0.49396E-01
1, 0, 0.25, -2,   3.5 ,    0.15537E-01,  0.44898    ,  0.61241E-01
1, 0, 0.25, -2,   3.  ,    0.14122E-01,  0.40807    ,  0.72704E-01
1, 0, 0.25, -2,   2.5 ,    0.12929E-01,  0.36711    ,  0.83781E-01
1, 0, 0.25, -2,   2.0 ,    0.11960E-01,  0.32611    ,  0.94471E-01
1, 0, 0.25, -2,   1.5 ,    0.11214E-01,  0.28509    ,  0.10477    
1, 0, 0.25, -2,   1.  ,    0.10691E-01,  0.24405    ,  0.11467    
1, 0, 0.25, -2,   0.5 ,    0.10392E-01,  0.20301    ,  0.12418    
1, 0, 0.25, -2,   0.0 ,    0.10316E-01,  0.16197    ,  0.13330    
1, 0, 0.25, -2,  -0.5 ,    0.10463E-01,  0.12095    ,  0.14201    
1, 0, 0.25, -2,   -1. ,    0.10832E-01,  0.79961E-01,  0.15032    
1, 0, 0.25, -2,  -2.0 ,    0.12233E-01, -0.19047E-02,  0.16573    
1, 0, 0.25, -2,  -4.0 ,    0.17662E-01, -0.16486    ,  0.19168    
